date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:40	105340/105340	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:49:01%20GMT	http://tavonline.net/html/madrid/img/singlework/factorie-1.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/factorie-1.jpg	(from http://tavonline.net/html/madrid/work-2.html)
12:45:44	537046/537046	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:04%20GMT	http://tavonline.net/html/madrid/img/blog-1.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/blog-1.jpg	(from http://tavonline.net/html/madrid/blogs-page.html)
12:46:11	184034/184034	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:49:15%20GMT	http://tavonline.net/html/madrid/img/singlework/factorie-4.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/factorie-4.jpg	(from http://tavonline.net/html/madrid/work-2.html)
12:46:11	5895/5895	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Sep%202018%2007:47:42%20GMT	http://tavonline.net/html/madrid/css/magnific-popup.css	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/css/magnific-popup.css	(from http://tavonline.net/html/madrid/work-3.html)
12:46:13	669007/669007	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:06%20GMT	http://tavonline.net/html/madrid/img/blog-3.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/blog-3.jpg	(from http://tavonline.net/html/madrid/blogs-page.html)
12:46:24	63052/63052	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:25%20GMT	http://tavonline.net/html/madrid/img/singlework/environmental-2.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/environmental-2.jpg	(from http://tavonline.net/html/madrid/work-3.html)
12:46:25	81325/81325	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:27%20GMT	http://tavonline.net/html/madrid/img/singlework/environmental-1.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/environmental-1.jpg	(from http://tavonline.net/html/madrid/work-3.html)
12:46:44	115615/115615	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:15%20GMT	http://tavonline.net/html/madrid/img/singlework/environmental-4.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/environmental-4.jpg	(from http://tavonline.net/html/madrid/work-3.html)
12:46:53	181159/181159	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:17%20GMT	http://tavonline.net/html/madrid/img/singlework/environmental-6.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/environmental-6.jpg	(from http://tavonline.net/html/madrid/work-3.html)
12:47:01	101630/101630	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:15%20GMT	http://tavonline.net/html/madrid/img/singlework/environmental-5.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/environmental-5.jpg	(from http://tavonline.net/html/madrid/work-3.html)
12:47:15	632383/632383	---M--	200	added ('OK')	image/gif	date:Sat,%2022%20Sep%202018%2007:48:19%20GMT	http://tavonline.net/html/madrid/img/singlework/factorie-3.gif	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/singlework/factorie-3.gif	(from http://tavonline.net/html/madrid/work-2.html)
